음식,열량
마늘보쌈(09),238.71
마늘종멸치볶음(05)(06),128.67
마늘종무침,29.5
마늘쫑고추장무침,49.26
마늘쫑무침(완)(05)(06)(18),37.24
마라제육볶음(05)(06)(10),431.83
마라탕(05)(06)(08)(09)(10)(16),302.12
마라탕(05)(06)(08)(10)(16),454.67
"마시는 발효유,부대계약",
마요오징어실채무침(01)(05)(06),456.1
마요오징어실채무침(01)(05)(06)(17),91.72
마제소바덮밥(01)(04)(05)(06)(07)(10)(18),732.96
마제소바덮밥(01)(04)(05)(06)(10)(18),311.02
마제소바덮밥(01)(05)(06)(10)(18),333.28
마제소바덮밥(04)(05)(06)(07)(10)(18),583.16
마카로니샐러드,170.4
마카로니후르츠샐러드,131.45
마카롱,
마커니커리라이스(02)(06)(12)(15),699.54
마커니커리라이스(06)(12)(15),731.58
마크니커리덮밥(02)(06)(12)(15),651.23
마파두부(05),147.11
마파두부(05)(06),214.34
마파두부(05)(06)(10),314.3
만다린오렌지샐러드,52.2
만두유린기(01)(05)(06)(10),237.53
만두유린기(05)(06)(10),327.12
만두유린기(05)(06)(10)(16),623.63
만두육개장(01)(05)(06)(10),288.73
만두튀김(01)(05)(06)(10),403.41
만두튀김(05)(06)(10)(16),729.07
만두튀김(05)(06)(10)(16)(18),156.32
맑은순두부계란탕(01)(05)(09),67.02
맑은어묵탕(05)(06),65.19
맑은오징어볶음(05)(06)(17),153.33
맑은콩나물국(05),19.69
맛김,5.25
맛있는 두유GT 달콤한맛,130.0
맛있는 두유GT 담백한맛,58.0
망고샐러드,80.58
망고샐러드(01),58.28
매쉬포테이토,57.66
매실피클,63.6
매운돼지갈비찜(05)(06)(10),439.59
매운돼지갈비찜(06)(10),469.57
매운돼지갈비찜(10),355.69
매운소갈비찜,653.53
매운소갈비찜(05)(06),510.52
매운소시지떡볶음(10)(12),246.65
매운족발볶음(05)(06)(10),428.25
매운족발볶음(05)(06)(10)(13),467.01
매운족발볶음(10)(13),425.83
매운쭈꾸미볶음(05)(06),199.38
매일두유 초콜릿 190ml,150.0
"매일유업,썬업파인애플,200ml",95.0
"매일유업,피크닉청포도,200ml",75.0
매콤오징어실채무침(17),92.4
맥모닝버거 (01)(02)(05)(06)(10)(12)(15)(16),433.3
맥모닝버거 (01)(02)(05)(06)(10)(12)(15)(16)(18),436.0
맥모닝버거 (01)(10),407.85
머쉬룸크림스프(02)(05)(06)(15),35.0
머쉬룸크림스프(02)(06),85.0
머쉬룸크림스프(완)(02)(05)(06)(15),52.0
메론(봄 가을),90.0
메론(봄 가을) 가을),90.0
메밀소바(01)(03)(05)(06)(07),1113.41
메밀소바(02)(03)(05)(06),108.14
메밀소바(02)(05)(06),697.2
메밀소바(05),411.95
메추리알장조림(완)(01),300.54
메추리알장조림(완)(01)(05)(06),355.0
멕시칸샐러드(01)(10),162.57
멘보샤(05)(06)(09)(12),294.1
멘보샤(06)(09),191.5
멘보샤(06)(09)(12),462.1
멜론(여름),72.0
멸치볶음,72.47
명동칼국수(05)(06)(10)(16),435.36
명란계란찜(01),72.42
명란마요아보카도덮밥(01)(05),616.36
명란순두부탕(01)(05)(09),136.8
명란젓,41.11
명이나물절임(05)(06),17.5
명태매운탕(05),89.97
명태매운탕(05)(06),91.31
명태무찌개(05)(06),102.12
명태회냉면(01)(02)(05)(06)(10)(16),993.34
명태회무침,15.67
모닝빵&딸기잼,86.06
모듬과일샐러드,53.96
모듬과일샐러드(01),54.31
모듬버섯볶음(05)(06),58.54
모듬소시지구이(01)(05),88.5
모듬쌈,10.46
모듬쌈&우렁쌈장(05)(06)(18),96.72
모듬쌈(05)(06),43.51
모듬야채&쌈장,33.3
모듬야채&쌈장(05),30.45
모듬야채&쌈장(05)(06),43.76
모듬야채&쌈장(05)(06)(18),42.87
모듬야채(05)(06),74.21
모듬어묵조림(05)(06),165.15
모듬어묵조림(05)(06)(18),184.2
모듬피클,73.6
모듬해초샐러드,20.27
목살필라프(01)(05)(06)(10)(15)(18),700.28
목살필라프(01)(05)(06)(10)(18),675.4
목화솜탕수육(05)(06)(10),606.44
몽블랑(01)(02)(05)(06)(10),692.4
무&비트피클(완),30.0
무나물,58.69
무나물M531:무생채대,58.69
무나물M582:오이무침대,58.69
무말랭이무침(완),42.0
무뼈닭발(02),290.5
무생채,36.39
무생채(05)(06),41.05
무청시래기국(05),64.14
무초절이,52.66
묵김가루무침(05)(06),11.43
문어굴국(05)(09)(17)(18),146.6
물냉면(01),96.67
물냉면(01)(02)(05)(06)(10)(16),2960.81
물냉면(01)(03)(06),997.25
물냉면(01)(06),604.26
물냉면vs비빔냉면(01)(02)(03)(05)(06)(10)(13)(16),711.48
물냉면vs비빔냉면(01)(02)(03)(05)(06)(13)(15)(16)(18),465.88
물냉면vs비빔냉면(02)(03)(05)(06)(10)(16),925.07
물냉면vs비빔냉면(02)(05)(06)(10)(16),927.07
물만두(01)(06)(10),113.6
미나리고추장무침(06),31.58
