날짜,음식,식사유형
2024-09-14(토),단호박샐러드,조식
2024-09-15(일),밥,조식
2024-09-01(일),밥,조식
2024-09-01(일),참치 고추장찌개,조식
2024-09-01(일),새송이버섯야채볶음,조식
2024-09-01(일),계란말이,조식
2024-09-01(일),배추김치,조식
2024-09-02(월),밥,조식
2024-09-02(월),감자고추장찌개,조식
2024-09-02(월),돼지고기자장볶음,조식
2024-09-02(월),무생채,조식
2024-09-02(월),김,조식
2024-09-02(월),배추김치,조식
2024-09-03(화),밥,조식
2024-09-03(화),닭고기육개장,조식
2024-09-03(화),오삼불고기,조식
2024-09-03(화),상추겉절이,조식
2024-09-03(화),배추김치,조식
2024-09-04(수),밥,조식
2024-09-04(수),순두부백탕,조식
2024-09-04(수),돼지고기고추장볶음,조식
2024-09-04(수),콩나물매운무침,조식
2024-09-04(수),김,조식
2024-09-04(수),파김치,조식
2024-09-05(목),밥,조식
2024-09-05(목),참치김치찌개,조식
2024-09-05(목),닭순살야채조림,조식
2024-09-05(목),부추겉절이,조식
2024-09-05(목),깍두기,조식
2024-09-06(금),밥,조식
2024-09-06(금),콩나물무채국,조식
2024-09-06(금),마파감자,조식
2024-09-06(금),메추리알장조림,조식
2024-09-06(금),배추김치,조식
2024-09-07(토),불고기버거,조식
2024-09-07(토),계란후라이,조식
2024-09-07(토),시리얼,조식
2024-09-08(일),밥,조식
2024-09-08(일),어묵탕,조식
2024-09-08(일),느타리버섯볶음,조식
2024-09-08(일),소고기꽈리고추조림,조식
2024-09-08(일),배추김치,조식
2024-09-09(월),밥,조식
2024-09-09(월),감자국,조식
2024-09-09(월),비엔나소시지케찹볶음,조식
2024-09-09(월),연두부&양념장,조식
2024-09-09(월),김,조식
2024-09-09(월),배추김치,조식
2024-09-10(화),밥,조식
2024-09-10(화),얼갈이된장국,조식
2024-09-10(화),고구마함박스테이크,조식
2024-09-10(화),상추겉절이,조식
2024-09-10(화),배추김치,조식
2024-09-11(수),밥,조식
2024-09-11(수),콩나물무채국,조식
2024-09-11(수),언양식바싹불고기,조식
2024-09-11(수),오이무침,조식
2024-09-11(수),김,조식
2024-09-11(수),배추김치,조식
2024-09-12(목),밥,조식
2024-09-12(목),황태채국,조식
2024-09-12(목),돼지불고기,조식
2024-09-12(목),김자반,조식
