날짜,음식,식사유형
2021-01-23,순두부계란찜,조식
2021-01-23,김장김치,조식
2021-01-23,우유,조식
2021-01-24,밥,조식
2021-01-24,버섯쇠고기찌개,조식
2021-01-24,오징어채볶음,조식
2021-01-17,생선묵볶음,조식
2021-01-17,맛김,조식
2021-01-17,김장김치,조식
2021-01-17,우유,조식
2021-01-18,밥,조식
2021-01-18,북어채국,조식
2021-01-18,돼지고기김치볶음,조식
2021-01-18,맛김,조식
2021-01-18,깍두기,조식
2021-01-18,우유,조식
2021-01-19,밥,조식
2021-01-19,버섯쇠고기찌개,조식
2021-01-19,계란찜,조식
2021-01-19,순두부양념장,조식
2021-01-19,가공우유 바나나,조식
2021-01-19,김장김치,조식
2021-01-20,밥,조식
2021-01-20,생선묵국,조식
2021-01-20,비엔나소시지케찹볶음,조식
2021-01-20,두부조림,조식
2021-01-20,김장김치,조식
2021-01-20,우유,조식
2021-01-14,우유,조식
2022-02-26,새우버거,조식
2022-02-26,스크램블에그,조식
2022-02-26,음료수 탄산 콜라,조식
2022-02-26,우유,조식
2022-02-27,밥,조식
2022-02-27,간편식탕류,조식
2022-02-27,쇠고기불고기,조식
2022-02-27,연두부양념장,조식
2022-02-27,김장김치,조식
2022-02-28,참치마요덮밥,조식
2022-02-28,밥,조식
2022-02-28,쇠고기감자국,조식
2022-02-28,돼지고기김치볶음,조식
2022-02-28,김장김치,조식
2022-02-28,감귤 주스,조식
2022-03-01,밥,조식
2022-03-01,쇠고기미역국,조식
2022-03-01,새송이버섯야채볶음,조식
2022-03-01,두부조림,조식
2022-03-01,배추김치,조식
2022-03-01,우유,조식
2022-03-02,밥,조식
2022-03-02,황태채국,조식
2022-03-02,마파두부,조식
2022-03-02,계란찜,조식
2022-03-02,배추김치,조식
2022-03-02,요구르트 아이스크림 떠먹는형,조식
2022-03-03,불고기버거,조식
2022-03-03,우유,조식
2022-03-04,간장계란밥,조식
2022-03-04,쇠고기무국,조식
2022-03-04,햄슬라이스야채볶음,조식
2022-03-04,맛김,조식
2022-03-04,배추김치,조식
2022-03-04,사과,조식
2022-03-05,밥,조식
2022-03-05,갈비탕,조식
2022-03-05,비엔나소시지케찹볶음,조식
2022-03-05,감자조림,조식
2022-03-05,가공우유,조식
2022-03-05,배추김치,조식
2022-03-06,떡만둣국,조식
2022-03-06,소시지야채볶음,조식
2022-03-06,맛김,조식
2022-03-06,배추김치,조식
2022-03-06,감귤 주스,조식
2022-03-07,밥,조식
2022-03-07,감자수제비국,조식
2022-03-07,매운쭈꾸미볶음,조식
2022-03-07,두부양념장,조식
2022-03-07,배추김치,조식
2022-03-07,우유,조식
2022-03-08,햄치즈버거,조식
2022-03-08,우유,조식
2022-03-08,감귤 주스,조식
2021-02-01,밥,조식
2021-02-01,오징어국,조식
2021-02-01,비엔나소시지케찹볶음,조식
2021-02-01,맛김,조식
2021-02-01,김장김치,조식
2021-02-01,우유,조식
2021-02-02,잡곡밥,조식
2021-02-02,쇠고기육개장,조식
2021-02-02,꽈리고추멸치볶음,조식
2021-02-02,두부김치,조식
2021-02-02,백김치,조식
2021-02-02,요구르트 아이스크림 떠먹는형,조식
2021-02-03,생선묵볶음,조식
2021-02-03,순두부양념장,조식
2021-02-03,김장김치,조식
2021-02-03,우유 살균형,조식
2021-02-03,밥,조식
2021-02-03,쇠고기미역국,조식
2021-02-04,떡만둣국,조식
2021-01-29,밥,조식
2022-02-12,핫도그빵,조식
2022-02-12,쇠고기버섯볶음,조식
2022-02-12,우유,조식
2022-02-12,배,조식
2022-02-13,닭죽,조식
2022-02-13,맛김,조식
2022-02-13,모듬어묵조림,조식
2022-02-13,김장김치,조식
2022-02-13,우유,조식
2022-02-13,사과,조식
2022-02-14,밥,조식
2022-02-14,쇠고기육개장,조식
2022-02-14,계란찜,조식
2022-02-14,오징어젓무침,조식
2022-02-14,김장김치,조식
2022-02-14,우유,조식
2022-02-15,햄치즈버거,조식
2022-02-15,우유,조식
2022-02-15,감귤 주스,조식
2022-02-16,닭고기덮밥,조식
2022-02-16,맑은콩나물국,조식
2022-02-16,오징어채무침,조식
2022-02-16,가공우유,조식
2022-02-16,김장김치,조식
2022-02-17,간장계란밥,조식
2022-02-17,쇠고기무국,조식
2022-02-17,햄슬라이스야채볶음,조식
2022-02-17,맛김,조식
2022-02-17,김장김치,조식
2022-02-17,우유,조식
